uen,name,website
200412273N,Viswalab Singapore,http://173.11.229.171/Viswaweb/
201534835K,1arche Pte. Ltd.,http://1-arche.com/
201226828N,1ders Motorworks Pte. Ltd.,http://1dersmotorworks.com/
199700867W,1-net Singapore Pte Ltd,http://1-net.com.sg/
199303640C,Ses Marine Services (pte) Ltd,http://203.116.56.203/
199100793R,Esai (singapore) Glass Technology Pte Ltd,http://203.126.43.12/psbtest/PLSDirectory/CompanyL
200909983D,2359 Media Pte. Ltd.,http://2359media.com/
200600912E,23 Technologies Pte Ltd,http://23tec.com/
201207939M,2ideas Private Limited,http://2ideas.com.sg/
201100164C,38 Marine And Offshore Pte. Ltd.,http://38marine.com.sg/
52826353J,Kol Global Engineering,http://38marine.com.sg/aboutus/
201314941K,3 DEGREES ASIA PTE. LTD.,http://3degrees.asia/
UN_000001,3dna,http://3dna.com.sg/
201416399K,3d Printing Studios Asia Pte. Ltd.,http://3dprintingstudios.com.sg/Singapore
199500821N,3HPArchitects Pte Ltd,http://3hpa.com.sg
200918054G,3istudio Consultants Pte. Ltd.,http://3istudio.sg/
200722144C,Ytl Westwood Properties Pte Ltd,http://3orchardbythepark.com.sg/
201607423R,3PA Pte. Ltd.,http://3pa.sg/
201408898G,3p Architects,http://3p-architects.com.sg
200722216Z,3s Solid Surface Pte Ltd,http://3ssolidsurface.com/
201434935C,4-ever Engineering Pte. Ltd.,http://4everengineering.wix.com/4-ever-engineering
31784200E,Lean Seng Lee Goldsmith,http://4sq.com/qqGEVH
201228505E,5bers Pte. Ltd.,http://5bers.com/
53242556A,5FINGERS GLOBAL HOLDINGS,http://5fingersglobal.com/
201307594Z,6e Builders Pte Ltd,http://6ebuilders.com/
53105999E,Seven Hill Construction,http://7hillsllc.com/
200919664D,800 Landscape Pte Ltd,http://800super.com.sg/
198601155H,800 Super Waste Management Pte Ltd,http://800super.com.sg/
199705339K,Eight Flags Computer Systems & Supplies Pte Ltd,http://8flags.com.sg/wordpress/
200208351N,9 Degree Construction Pte Ltd,http://9degree.com.sg/
201211719W,A2z Interior Design Pte. Ltd.,http://a2zinteriordesign.com.sg/
197701658M,A4 International Pte Ltd,http://a4international.com/
200101570Z,Aal Tech Marine & Industrial Engineering Pte Ltd,http://aaltech.com.sg/
201331123W,Ab Associates Pte. Ltd.,http://abassociates.com.sg/
200601369N,Abbott Manufacturing Singapore Pte Ltd,http://abbott.com.sg/
201025911R,ABL Consultants Pte. Ltd.,http://abl.com.sg/
26388800B,Able Plumbing Contractor,http://ableplumbingconstruction.blogspot.com/
200818631M,Abm-century Pte Ltd,http://abmcentury.com/
01009425H,Absolute Tech,http://absolutech.com.sg
201315269W,Absolute Design Int'l Pte. Ltd.,http://absolutedesign.sg/
200911205H,Absolute Tint Pte Ltd,http://absolutetint.com.sg/
53250754A,Aca Akitek,http://acaakitek.com/
200210824H,ACACIA DESIGN CONSULTANTS PTE. LTD.,http://acacia-design.com/
201023637K,Academiclinic Pte. Ltd.,http://academiclinicpl.com/
43060900X,Access Office Services,http://accessofficeservices.com/
201128751K,Acecomm Solutions Pte. Ltd.,http://acecommsolutions.com/
200813581Z,Ace Control Solution Pte. Ltd.,http://ace-control.com.sg/
199607542E,Ace Mect Enterprise Pte Ltd,http://acemect.com.sg/
201018971D,Ace Water Pte Ltd,http://acewater.com.sg/index.php
199203501D,Achema Pte Ltd,http://achema.sg/
199801996Z,Achieve Career Consultant Pte Ltd,http://achievegroup.asia/sg/
201406457N,Achiever Communications Pte. Ltd.,http://achiever.com.sg/
201102744R,Acies Security Networks Pte. Ltd.,http://acies.com.sg/
52864343J,A Acme Design,http://acmedesign.com.sg/
53237806K,A_collective Architects,http://acollective.com.sg/
201131880R,Acg Overseas Investment Pte Ltd,http://acqoi.com/
201506987H,Acredo Consultancy Pte. Ltd.,http://acredoconsultancy.com/
52856624E,A C S Standard Cool Engineering,http://acssce.com.sg/
196900022G,A.c.t. Holdings Pte Ltd,http://act-holdings.com.sg/
199207091K,Active Decor Pte Ltd,http://activedecor.com.sg/
201213934K,Active Laundry Pte. Ltd.,http://active-laundry.com.sg/
199505321D,Active Lifestyle Pte Ltd,http://activelifestylegroup.com/sg/
200616052C,Activ Health Investment Holdings Pte Ltd,http://activhealth.com.sg/
199302282Z,Activhealth (s) Pte Ltd,http://activhealth.com.sg/
201111903E,Acts System Methodologies Pte. Ltd.,http://acts-sg.com/
201507628R,Adda T A Pte. Ltd.,http://adda-ta.com/
200102630Z,Addicon Logistics Management (s) Pte Ltd,http://addicon.com.sg/
T10LL2119G,ADDP Architects LLP,http://addp.sg/
53140655E,ADDP Architects,http://addp.sg/
200410939W,Adelina Pang Fengshui Consultancy Pte Ltd,http://adelinapang.com/
201501042K,Adilam Pte. Limited,http://adilam.com.sg
200911268W,Adl Control ( S ) Pte Ltd,http://adlcontrol.com/
199706478C,Advanced Lighting Technologies Asia Pte Ltd,http://adlt.com.sg/
201503160C,Plug + Play Productions Pte. Ltd.,http://admin4230.wixsite.com/plugplayproductions
201000746C,Admira Pte Ltd,http://admira.sg/
199406776M,Advanced Nutraceutical Pte Ltd,http://adnutra.com/
200402187W,A.max Pte Ltd,http://adotmax.com.sg/
200810219E,Adrenalin Group Pte. Ltd.,http://adrenalin.com.sg/
198104847K,Ad-tools (s) Pte Ltd,http://ad-tools.com.sg/
201333539G,Advanced Safety & Consultancy Pte. Ltd.,http://advancedgroup.com.sg/
53184183M,Advance Pest Management,http://advancedpest.com.sg/
